CODI_10,NOM_ENS,ANY,TOTAL,HOMES,DONES
8102060009,Consell Comarcal del Gironès,1990,128324,,
2504850006,Ajuntament de Bell-lloc d'Urgell,1993,2198,,
0806540003,Ajuntament de Castellví de la Marca,2011,1649,831,818
0808110007,Ajuntament de Fogars de Montclús,2003,368,0,0
1713900000,Ajuntament de les Preses,2010,1724,,
4315150006,Ajuntament de la Torre de Fontaubella,2001,129,,
4308100000,Ajuntament de Maspujols,2016,774,,
4306530008,Ajuntament de Garcia,2006,534,,
0804250006,Ajuntament de Cànoves i Samalús,2004,2297,,
0808110007,Ajuntament de Fogars de Montclús,2020,475,,
0801370005,Ajuntament d'Avinyonet del Penedès,2018,1669,887,782
0830360009,Ajuntament de Vilanova de Sau,2015,312,,
4312640003,Ajuntament de la Riera de Gaià,2021,1737,864,873
1718050006,Ajuntament de Santa Coloma de Farners,2002,9396,0,0
1701010007,Ajuntament d'Argelaguer,2014,425,229,196
0822480001,Ajuntament de Sant Martí de Centelles,1991,642,,
0804250006,Ajuntament de Cànoves i Samalús,2010,2809,,
2522490004,Ajuntament dels Torms,2005,193,106,87
1703350006,Ajuntament de Caldes de Malavella,2021,8051,4024,4027
0814830008,Ajuntament d'Olivella,2010,3405,,
8103040003,Consell Comarcal de la Ribera d'Ebre,2005,22925,,
2591010007,Ajuntament de Josa i Tuixén,1999,168,,
0827260009,Ajuntament de Sora,1990,217,,
4302900000,Ajuntament de Blancafort,2018,379,198,181
0817270005,Ajuntament de Premià de Mar,1994,24691,,
4306400000,Ajuntament de Gandesa,2007,3040,1560,1480
2591180001,Ajuntament dels Plans de Sió,2000,595,,
1709470005,Ajuntament de Llívia,2007,1388,755,633
2520810007,Ajuntament de Soriguera,2011,368,200,168
4313620002,Ajuntament de la Ràpita,2012,15232,,
2511550006,Ajuntament d'Isona i Conca Dellà,2006,1139,,
0825670005,Ajuntament de Santa Maria de Martorelles,2010,839,,
1720760009,Ajuntament de la Vall d'en Bas,2012,2931,,
4311290004,Ajuntament de Poboleda,1990,368,,
2590100000,Ajuntament de Vall de Cardós,1995,350,,
2502200000,Ajuntament d'Alòs de Balaguer,2002,174,0,0
0811150006,Ajuntament de Malla,2018,271,140,131
4390440003,Ajuntament de l'Aldea,1996,3563,,
2503130008,Ajuntament d'Arres,2014,73,45,28
1702420002,Ajuntament de Bolvir,2020,375,,
2512400000,Ajuntament de Lladurs,2003,220,0,0
4308310007,Ajuntament del Milà,2016,178,,
2501430008,Ajuntament d'Alfés,2013,319,164,155
4390760009,Ajuntament de la Canonja,2015,5839,,
1714500000,Ajuntament de Ribes de Freser,2020,1760,,
2515000000,Ajuntament d'Oliola,2020,203,,
